customer_id,name,email,phone,address,registration_date,loyalty_status,cleaned_name,first_name,last_name,country,dialing_code,formatted_phone,customer_tier
1,Michelle Kidd,vayala@example.net,,"USNS Santiago, FPO AE 80872",2025-01-25,Gold,Michelle Kidd,Michelle,Kidd,US,+1,+1nan,2
2,Brad Newton,taylorcatherine@example.net,(759)518-8536x738,"38783 Oliver Street, West Kristenborough, MT 99752",2023-07-13,Silver,Brad Newton,Brad,Newton,US,+1,+1(759)518-8536x738,1
3,Larry Torres,dsanchez@example.net,001-323-525-3094x96062,"6845 Steele Turnpike, West Erikabury, UT 37487",2023-08-18,Bronze,Larry Torres,Larry,Torres,US,+1,+1001-323-525-3094x96062,0
4,Kimberly Price,jessicaknight@example.com,001-947-633-4224x07930,"1631 Alexis Meadows, Lake Amanda, CA 75179",2024-12-08,Gold,Kimberly Price,Kimberly,Price,CA,+1,+1001-947-633-4224x07930,2
5,Matthew Phillips,qwilliams@example.com,001-869-650-5682x8385,"2274 Williams Heights Suite 895, Andersonhaven, OR 80565",2024-02-03,Gold,Matthew Phillips,Matthew,Phillips,US,+1,+1001-869-650-5682x8385,2
6,Darrell Gallagher DVM,larryharris@example.org,+1-971-475-6369x8486,"19887 Brandon Bridge, New Rebecca, MA 94947",2025-03-03,Bronze,Darrell Gallagher DVM,Darrell,Gallagher DVM,US,+1,+1+1-971-475-6369x8486,0
7,Louis Miller,patriciaelliott@example.org,001-418-931-4146x588,"02590 Marshall Well, Sheppardland, CT 88067",2024-09-30,Gold,Louis Miller,Louis,Miller,US,+1,+1001-418-931-4146x588,2
8,Melissa Galloway MD,watsonbenjamin@example.net,+1-593-948-3872,"209 Steven Oval Apt. 022, Mollyhaven, NC 10211",2023-10-06,Bronze,Melissa Galloway MD,Melissa,Galloway MD,US,+1,+1+1-593-948-3872,0
9,Matthew Harvey,bgaines@example.net,(710)854-4550,"60123 Davis Ford, Mistychester, WA 69400",2024-10-31,Silver,Matthew Harvey,Matthew,Harvey,US,+1,+1(710)854-4550,1
10,Rachel White,whitemichael@example.org,001-920-793-4515x302,"6182 Brown Mountain, South Gary, IL 29016",2024-02-25,Bronze,Rachel White,Rachel,White,US,+1,+1001-920-793-4515x302,0
11,Nicole Yang,archerheather@example.org,001-385-627-5676x7067,"923 Emily Mills Apt. 281, Port Roy, WI 03921",2025-03-08,Bronze,Nicole Yang,Nicole,Yang,US,+1,+1001-385-627-5676x7067,0
12,Christine Delgado,yfarrell@example.net,932.206.7195x8325,"PSC 4025, Box 2078, APO AA 61121",2024-04-18,Bronze,Christine Delgado,Christine,Delgado,US,+1,+1932.206.7195x8325,0
13,Joseph Brennan,khernandez@example.com,549-356-4430,"8890 Keller Hills, North Paul, FM 64749",2024-04-28,Gold,Joseph Brennan,Joseph,Brennan,US,+1,+1549-356-4430,2
14,Eric Thomas,spencer75@example.com,001-353-817-6492x04270,"352 Joel Extension Suite 962, New Anthony, CO 33299",2024-05-09,Bronze,Eric Thomas,Eric,Thomas,US,+1,+1001-353-817-6492x04270,0
15,Laura Perez,sdavid@example.com,511.900.2681x4189,"1518 Green Locks Suite 348, New Brent, FM 51849",2024-12-04,Gold,Laura Perez,Laura,Perez,US,+1,+1511.900.2681x4189,2
16,Erin Matthews,uhunter@example.net,889-275-9024x61618,"67623 Morgan Hollow, Hillshire, IL 78665",2023-11-12,Bronze,Erin Matthews,Erin,Matthews,US,+1,+1889-275-9024x61618,0
17,Melissa Alvarado,parkjohn@example.net,+1-345-478-5691x220,"USNS Austin, FPO AP 52643",2024-06-24,Gold,Melissa Alvarado,Melissa,Alvarado,US,+1,+1+1-345-478-5691x220,2
18,Mr. Ernest Dunn,kelseybrown@example.net,6209840256,"3112 Lydia Freeway Suite 927, South Susan, RI 11726",2025-01-27,Gold,Ernest Dunn,Ernest,Dunn,US,+1,+16209840256,2
19,David Johnson,marynelson@example.org,+1-847-920-4578x754,"992 Harris Pines Suite 049, North Marychester, PW 73177",2025-02-21,Silver,David Johnson,David,Johnson,US,+1,+1+1-847-920-4578x754,1
20,Wayne Morales,qwilliams@example.com,956-836-0130,"15344 Hill Pike, Matthewport, FL 45434",2025-02-22,Gold,Wayne Morales,Wayne,Morales,US,+1,+1956-836-0130,2
21,Michael Vincent,jonesjeffrey@example.com,765-684-4638x56611,"455 Moore Orchard, New Richardhaven, RI 42023",2024-06-13,Silver,Michael Vincent,Michael,Vincent,US,+1,+1765-684-4638x56611,1
22,Tammie Mcgee,nsullivan@example.com,2832830187,"6371 Long Path Apt. 940, South Anthonyton, MT 86683",2024-10-24,Silver,Tammie Mcgee,Tammie,Mcgee,US,+1,+12832830187,1
23,Marisa Martinez,zward@example.org,3925177127,"5029 Wall Mountain Suite 847, New Chelseabury, IA 90393",2025-03-29,Bronze,Marisa Martinez,Marisa,Martinez,US,+1,+13925177127,0
24,Crystal Peterson,taylorcharles@example.com,(964)280-9583x310,"Unit 5741 Box 1124, DPO AA 18219",2023-08-07,Bronze,Crystal Peterson,Crystal,Peterson,US,+1,+1(964)280-9583x310,0
25,Jeremy Alexander,smithkevin@example.com,475-930-5339x6078,"1520 Reid Turnpike, Clarkville, CA 39102",2025-06-13,Silver,Jeremy Alexander,Jeremy,Alexander,CA,+1,+1475-930-5339x6078,1
26,James Graham,chawkins@example.net,(969)800-0025x2615,"2809 Young Squares, Lisaside, VA 53732",2024-03-10,Gold,James Graham,James,Graham,US,+1,+1(969)800-0025x2615,2
27,William Morrison,browningdavid@example.org,578-295-0698,"76577 Keith Falls, West Melissashire, NC 55275",2024-08-01,Gold,William Morrison,William,Morrison,US,+1,+1578-295-0698,2
28,Brandon Hall,,858-252-9573,"8143 Robert Cove Apt. 103, Sanchezport, CO 78231",2024-04-07,Gold,Brandon Hall,Brandon,Hall,US,+1,+1858-252-9573,2
29,Morgan Wilson,michelle12@example.net,4104431191,"05880 Hudson Row, Jessefurt, KS 54128",2024-11-04,Silver,Morgan Wilson,Morgan,Wilson,US,+1,+14104431191,1
30,Heather Hill,qwillis@example.com,(665)458-5482,"4339 Brown Crescent, Lambchester, SD 62832",2024-12-15,Silver,Heather Hill,Heather,Hill,US,+1,+1(665)458-5482,1
31,Louis Beasley,bjones@example.net,(723)578-4770x2607,"71975 Smith Drive Suite 746, Bairdmouth, MP 70886",2023-09-18,Bronze,Louis Beasley,Louis,Beasley,US,+1,+1(723)578-4770x2607,0
32,Julie Shelton,ryanpatel@example.net,406.608.0039x3832,"USNS Brown, FPO AP 55711",2024-12-02,Gold,Julie Shelton,Julie,Shelton,US,+1,+1406.608.0039x3832,2
33,Erin Stephens,kyle83@example.com,001-947-626-2105x0040,"5911 Amy Creek Suite 329, Michaelside, CO 25722",2024-08-02,Silver,Erin Stephens,Erin,Stephens,US,+1,+1001-947-626-2105x0040,1
34,Christopher Powers,nsimmons@example.com,(298)987-5455x779,"27599 David Mews, Juliefort, AL 92098",2024-06-09,Silver,Christopher Powers,Christopher,Powers,US,+1,+1(298)987-5455x779,1
35,Rachel Lang,huntcourtney@example.org,+1-395-932-4542x0693,"PSC 5662, Box 7419, APO AA 70596",2024-11-13,Silver,Rachel Lang,Rachel,Lang,US,+1,+1+1-395-932-4542x0693,1
36,Christopher Clark,,526.725.4397x47233,"2325 Danielle Knolls Suite 719, Gabrielleview, MT 11649",2024-01-13,Gold,Christopher Clark,Christopher,Clark,US,+1,+1526.725.4397x47233,2
37,Jessica Hardy,cherylray@example.org,+1-860-478-6973,"8293 Martin Ridges Apt. 444, Lake Erikfort, MH 63270",2024-08-13,Gold,Jessica Hardy,Jessica,Hardy,US,+1,+1+1-860-478-6973,2
38,Paul Collins,brittanychase@example.com,+1-669-645-8342x45344,"895 Anthony Lodge Suite 819, North Cassandra, TX 86555",2024-07-05,Bronze,Paul Collins,Paul,Collins,US,+1,+1+1-669-645-8342x45344,0
39,Lauren Fisher,wesley32@example.net,231.234.9414,"9633 Victoria Loop Apt. 271, Hannahside, MS 96656",2025-06-14,Gold,Lauren Fisher,Lauren,Fisher,US,+1,+1231.234.9414,2
40,Amy Gates,jesse14@example.org,240.358.0188x02755,"69324 Jennifer Plaza Apt. 905, Haroldview, MD 67322",2024-11-24,Gold,Amy Gates,Amy,Gates,US,+1,+1240.358.0188x02755,2
41,Breanna Elliott,mark59@example.net,(873)277-5013x3877,"29664 Lauren Mountain Apt. 243, West Mary, NV 57114",2024-11-19,Silver,Breanna Elliott,Breanna,Elliott,US,+1,+1(873)277-5013x3877,1
42,Mr. Andrew Austin,heather79@example.com,(698)852-3560,"200 Thomas Flat, South James, MP 96716",2025-06-12,Gold,Andrew Austin,Andrew,Austin,US,+1,+1(698)852-3560,2
43,Kelsey Young,mckeeconnie@example.org,315.338.8448,"8806 Davis Fall Suite 188, East Brenda, WI 95051",2024-12-04,Gold,Kelsey Young,Kelsey,Young,US,+1,+1315.338.8448,2
44,Travis Neal,stewartkeith@example.org,001-287-660-8068x17694,"1024 Cynthia Way, East Christina, HI 44699",2025-01-13,Bronze,Travis Neal,Travis,Neal,US,+1,+1001-287-660-8068x17694,0
45,Gordon Logan,robert26@example.org,873-246-2860x25185,"8399 Christopher Cliff Suite 911, Joshuashire, GU 04822",2023-06-24,Silver,Gordon Logan,Gordon,Logan,US,+1,+1873-246-2860x25185,1
46,Felicia Noble,taylorcatherine@example.net,+1-413-522-3307x26004,"Unit 7244 Box 4360, DPO AP 11537",2023-10-23,Gold,Felicia Noble,Felicia,Noble,US,+1,+1+1-413-522-3307x26004,2
47,Robin Hill,brownselena@example.net,+1-646-270-1132x71843,"93477 Jose Ville Suite 818, Bethanyton, GA 79420",2024-04-22,Silver,Robin Hill,Robin,Hill,US,+1,+1+1-646-270-1132x71843,1
48,Julie Hardy,robert73@example.net,001-264-626-1557,"167 Lisa Orchard Suite 613, Meredithport, MT 25662",2023-12-03,Gold,Julie Hardy,Julie,Hardy,US,+1,+1001-264-626-1557,2
49,Kevin Smith,joannewolfe@example.net,871-533-1692x737,"346 Hill Meadow Suite 327, Port Kari, MP 75439",2023-08-17,Bronze,Kevin Smith,Kevin,Smith,US,+1,+1871-533-1692x737,0
50,Valerie Lee,jason40@example.org,(248)683-4465,"805 Silva Alley Suite 967, Kennethstad, ND 46111",2025-04-06,Gold,Valerie Lee,Valerie,Lee,US,+1,+1(248)683-4465,2
51,David Garza,,001-823-650-0884x4834,"USS Williams, FPO AA 77634",2023-10-24,Silver,David Garza,David,Garza,US,+1,+1001-823-650-0884x4834,1
52,Andrew Strong,matthewreed@example.com,676-615-6308,"925 Sean Oval, East Vanessa, MS 63313",2024-10-25,Bronze,Andrew Strong,Andrew,Strong,US,+1,+1676-615-6308,0
53,Phillip Brown,yjackson@example.org,001-304-300-9970x3541,"043 Bryant Avenue, Williamsview, WA 36043",2024-05-30,Bronze,Phillip Brown,Phillip,Brown,US,+1,+1001-304-300-9970x3541,0
54,James Phillips,lopezleon@example.org,856.777.8475x9956,"8743 Henderson Fields Apt. 075, New Scottview, MA 34681",2025-05-25,Bronze,James Phillips,James,Phillips,US,+1,+1856.777.8475x9956,0
55,Travis Stephenson,laura99@example.com,824.777.8113,"USS Barton, FPO AA 45890",2025-04-27,Bronze,Travis Stephenson,Travis,Stephenson,US,+1,+1824.777.8113,0
56,Jaime Holmes,lisa60@example.net,376-806-4181x6652,"44759 Torres Ridges Apt. 554, Lake Williamburgh, MH 84701",2024-02-18,Gold,Jaime Holmes,Jaime,Holmes,US,+1,+1376-806-4181x6652,2
57,Jade Murphy,mark29@example.com,(280)359-3314,"34817 Hayden Pass, North Christina, TN 32326",2025-06-06,Silver,Jade Murphy,Jade,Murphy,US,+1,+1(280)359-3314,1
58,Kathleen Gardner,ibarker@example.com,+1-990-210-7886x699,"5093 Hicks Parkways Apt. 235, New Andre, MH 65217",2023-09-18,Gold,Kathleen Gardner,Kathleen,Gardner,US,+1,+1+1-990-210-7886x699,2
59,Melissa Long,xholden@example.com,+1-965-917-4670x6479,"PSC 2039, Box 9858, APO AA 70916",2025-01-23,Silver,Melissa Long,Melissa,Long,US,+1,+1+1-965-917-4670x6479,1
60,Larry Malone,paulmunoz@example.net,997-850-5479,"49877 Flores Burg, Lake Kimberly, ID 63294",2024-10-01,Bronze,Larry Malone,Larry,Malone,US,+1,+1997-850-5479,0
61,Anthony Simon,katherinehudson@example.net,(703)804-7602,"46945 Jon Centers, Harrisport, IL 59333",2024-07-17,Silver,Anthony Simon,Anthony,Simon,US,+1,+1(703)804-7602,1
62,Linda Li,martinmonica@example.net,(544)762-6449x641,"8280 Powell Islands, South Ellen, PW 58728",2024-04-05,Gold,Linda Li,Linda,Li,US,+1,+1(544)762-6449x641,2
63,Jade Gallegos,amandabaker@example.org,001-626-473-6270x810,"7482 Rhonda Mountains Suite 820, West Andrew, KS 63932",2024-08-26,Gold,Jade Gallegos,Jade,Gallegos,US,+1,+1001-626-473-6270x810,2
64,Donna Gardner,csmith@example.org,(815)331-2084,"USCGC Sutton, FPO AE 02651",2024-11-01,Silver,Donna Gardner,Donna,Gardner,US,+1,+1(815)331-2084,1
65,Ashley Barrett,allenhowe@example.net,(563)635-3442x5601,"553 Lewis Springs, South Christineborough, IN 90284",2025-06-15,Bronze,Ashley Barrett,Ashley,Barrett,US,+1,+1(563)635-3442x5601,0
66,Brenda Malone,anncarroll@example.net,715-938-1561x69081,"9903 Rogers Mill, Lebury, DE 97051",2024-08-21,Gold,Brenda Malone,Brenda,Malone,US,+1,+1715-938-1561x69081,2
